Date,Period,rate,rate_vs
2026-08-01,5d,0.0,0.0
2026-08-02,5d,0.0,0.0
2026-08-03,5d,0.8677,1.4243
2026-08-04,5d,0.9138,3.252
2026-08-05,5d,0.3148,3.051
2026-08-06,5d,1.7584,2.8763
2026-07-01,1m,0.0,0.0
2026-08-01,1m,-4.9533,0.0735
2026-08-06,1m,-0.8126,2.8627
2026-05-01,3m,0.0,0.0
2026-06-01,3m,-10.9319,5.1456
2026-07-01,3m,-5.079,0.7734
2026-08-01,3m,-8.1115,0.6567
2026-08-06,3m,-4.4576,3.3573
2026-02-01,6m,0.0,0.0
2026-03-01,6m,0.6396,-0.9007
2026-04-01,6m,-4.0303,-5.0439
2026-05-01,6m,-1.6063,6.2709
2026-06-01,6m,-11.9392,10.1746
2026-07-01,6m,-9.1532,6.2747
2026-08-01,6m,-12.1312,5.3949
2026-08-06,6m,-8.8371,7.6188
2025-08-01,1y,0.0,0.0
2025-09-01,1y,-2.6488,3.6814
2025-10-01,1y,-15.3759,5.7777
2025-11-01,1y,-14.513,5.9249
2025-12-01,1y,-6.5093,4.1656
2026-01-01,1y,-5.1656,3.8709
2026-02-01,1y,9.3828,4.7048
2026-03-01,1y,8.8272,3.1846
2026-04-01,1y,3.092,-1.9191
2026-05-01,1y,3.9137,8.1178
2026-06-01,1y,-7.7113,12.9299
2026-07-01,1y,-6.5895,9.8385
2026-08-01,1y,-10.6131,9.1996
2026-08-06,1y,-8.2183,11.6046
2023-08-01,3y,0.0,0.0
2023-09-01,3y,-3.6737,-1.2123
2023-10-01,3y,-4.9686,-5.571
2023-11-01,3y,-9.9296,-4.8015
2023-12-01,3y,-4.0627,4.6764
2024-01-01,3y,-3.3504,7.8372
2024-02-01,3y,1.5855,9.6499
2024-03-01,3y,0.6268,13.4982
2024-04-01,3y,6.97,14.9452
2024-05-01,3y,1.3742,8.5205
2024-06-01,3y,0.1466,13.4378
2024-07-01,3y,2.5486,17.3037
2024-08-01,3y,-2.0321,15.3322
2024-09-01,3y,-3.343,18.4934
2024-10-01,3y,3.7188,19.3404
2024-11-01,3y,-6.5377,18.5401
2024-12-01,3y,-2.4294,23.7499
2025-01-01,3y,-10.3827,19.495
2025-02-01,3y,-26.2167,21.5969
2025-03-01,3y,-25.7858,18.9311
2025-04-01,3y,-20.4977,11.7779
2025-05-01,3y,-18.8079,10.6837
2025-06-01,3y,-21.1212,16.2919
2025-07-01,3y,-25.5196,21.5005
2025-08-01,3y,-24.1064,21.3818
2025-09-01,3y,-25.1075,25.0844
2025-10-01,3y,-34.9144,28.9772
2025-11-01,3y,-36.7538,30.4951
2025-12-01,3y,-32.2563,29.0887
2026-01-01,3y,-31.1025,28.7745
2026-02-01,3y,-20.0529,29.6643
2026-03-01,3y,-18.8132,27.6724
2026-04-01,3y,-21.7353,21.014
2026-05-01,3y,-20.176,32.4196
2026-06-01,3y,-28.3047,38.366
2026-07-01,3y,-27.1636,34.9246
2026-08-01,3y,-29.987,34.1843
2026-08-06,3y,-27.9339,37.0905
2021-08-01,5y,0.0,0.0
2021-09-01,5y,-3.9607,2.9579
2021-10-01,5y,-2.6824,-2.2479
2021-11-01,5y,1.2736,4.3717
2021-12-01,5y,2.6444,1.1036
2022-01-01,5y,14.8028,6.6732
2022-02-01,5y,5.4672,0.6654
2022-03-01,5y,-4.7666,-4.5274
2022-04-01,5y,4.8128,1.4557
2022-05-01,5y,9.7902,-7.8696
2022-06-01,5y,8.3104,-7.6324
2022-07-01,5y,3.6917,-13.0345
2022-08-01,5y,7.2046,-5.1208
2022-09-01,5y,8.4642,-8.1098
2022-10-01,5y,0.0787,-16.295
2022-11-01,5y,6.0617,-8.7025
2022-12-01,5y,12.6569,-2.7044
2023-01-01,5y,0.2406,-8.1524
2023-02-01,5y,1.0174,-0.8256
2023-03-01,5y,-4.6989,-4.6636
2023-04-01,5y,-1.7778,0.2406
2023-05-01,5y,0.1908,1.7477
2023-06-01,5y,5.9908,3.2028
2023-07-01,5y,7.2198,8.7194
2023-08-01,5y,17.2966,11.5706
2023-09-01,5y,12.4295,9.8666
2023-10-01,5y,8.4311,4.0668
2023-11-01,5y,0.7506,2.7742
2023-12-01,5y,4.4314,11.5166
2024-01-01,5y,4.1886,15.5255
2024-02-01,5y,8.7498,18.3901
2024-03-01,5y,7.6959,23.4965
2024-04-01,5y,14.3289,26.2144
2024-05-01,5y,8.7323,20.1543
2024-06-01,5y,7.3149,25.9768
2024-07-01,5y,9.6965,30.9199
2024-08-01,5y,4.762,29.4731
2024-09-01,5y,3.0742,33.5755
2024-10-01,5y,10.251,35.1526
2024-11-01,5y,-0.6468,34.8125
2024-12-01,5y,3.29,41.2141
2025-01-01,5y,-5.3383,36.9382
