Date,Period,rate,rate_vs
2026-07-26,5d,0.0,0.0
2026-07-27,5d,-0.8064,0.025
2026-07-28,5d,-4.3597,0.268
2026-07-29,5d,-3.1543,-1.2531
2026-07-30,5d,-2.4616,0.3902
2026-07-31,5d,-4.3597,1.1058
2026-06-01,1m,0.0,0.0
2026-07-01,1m,-18.4369,-1.8046
2026-07-31,1m,-8.7534,-0.7803
2026-04-01,3m,0.0,0.0
2026-05-01,3m,1.8108,9.8967
2026-06-01,3m,-4.8276,10.4064
2026-07-01,3m,-21.0101,5.08
2026-07-31,3m,-15.3046,3.9652
2026-01-01,6m,0.0,0.0
2026-02-01,6m,-15.3458,1.3481
2026-03-01,6m,-19.7625,-0.1825
2026-04-01,6m,-15.5458,-4.7144
2026-05-01,6m,-9.9952,6.0896
2026-06-01,6m,-13.1993,10.3572
2026-07-01,6m,-27.3493,6.7609
2026-07-31,6m,-23.0221,5.9644
2025-07-01,1y,0.0,0.0
2025-08-01,1y,36.343,0.5476
2025-09-01,1y,9.7184,4.0174
2025-10-01,1y,13.9287,6.6654
2025-11-01,1y,-6.1422,7.1038
2025-12-01,1y,-22.9308,5.407
2026-01-01,1y,-25.2176,5.0539
2026-02-01,1y,-33.5896,5.8294
2026-03-01,1y,-38.6143,4.2459
2026-04-01,1y,-36.1035,-0.9753
2026-05-01,1y,-31.2122,9.03
2026-06-01,1y,-32.4192,13.8814
2026-07-01,1y,-42.625,10.7928
2026-07-31,1y,-39.0096,10.1458
2023-07-01,3y,0.0,0.0
2023-08-01,3y,49.202,2.8681
2023-09-01,3y,-12.2811,0.2551
2023-10-01,3y,-3.406,-4.8173
2023-11-01,3y,13.2794,-4.6934
2023-12-01,3y,11.2163,4.515
2024-01-01,3y,12.3925,7.8629
2024-02-01,3y,-11.1989,9.8671
2024-03-01,3y,7.3097,13.88
2024-04-01,3y,8.1437,15.4883
2024-05-01,3y,-9.2296,9.1489
2024-06-01,3y,-8.167,14.1223
2024-07-01,3y,-14.9321,18.0669
2024-08-01,3y,7.8809,16.1446
2024-09-01,3y,-1.4102,19.3645
2024-10-01,3y,7.5979,20.2587
2024-11-01,3y,-8.0602,19.486
2024-12-01,3y,318.0554,24.7607
2025-01-01,3y,300.7455,20.5036
2025-02-01,3y,378.0803,22.6369
2025-03-01,3y,248.7165,19.963
2025-04-01,3y,229.0266,12.752
2025-05-01,3y,229.7133,11.6346
2025-06-01,3y,214.6706,17.2743
2025-07-01,3y,204.7413,22.5214
2025-08-01,3y,304.7263,22.4045
2025-09-01,3y,265.044,26.1393
2025-10-01,3y,280.1958,30.0701
2025-11-01,3y,214.6559,31.6096
2025-12-01,3y,149.0845,30.1997
2026-01-01,3y,125.7238,29.888
2026-02-01,3y,87.8365,30.789
2026-03-01,3y,60.9394,28.783
2026-04-01,3y,54.805,22.0669
2026-05-01,3y,56.1201,33.5645
2026-06-01,3y,45.8072,39.5653
2026-07-01,3y,18.0027,36.1007
2026-07-31,3y,18.1804,35.3569
2021-07-01,5y,0.0,0.0
2021-08-01,5y,9.6822,1.7707
2021-09-01,5y,78.2636,3.9219
2021-10-01,5y,28.4547,-1.1374
2021-11-01,5y,27.1622,5.0647
2021-12-01,5y,10.3573,1.8654
2022-01-01,5y,-6.8906,7.3871
2022-02-01,5y,-30.3121,1.4028
2022-03-01,5y,-8.3655,-3.9018
2022-04-01,5y,-2.3908,1.9782
2022-05-01,5y,-28.1533,-7.4261
2022-06-01,5y,-51.2764,-7.3018
2022-07-01,5y,-58.2471,-12.8046
2022-08-01,5y,-44.0039,-4.9814
2022-09-01,5y,-48.1482,-8.0116
2022-10-01,5y,-21.4955,-16.2466
2022-11-01,5y,-21.9284,-8.7263
2022-12-01,5y,-32.2372,-2.7616
2023-01-01,5y,-40.6104,-8.2114
2023-02-01,5y,-24.8343,-0.9109
2023-03-01,5y,-29.1378,-4.7433
2023-04-01,5y,-3.1272,0.1496
2023-05-01,5y,-12.3704,1.6602
2023-06-01,5y,-3.8066,3.1216
2023-07-01,5y,-10.0704,8.6436
2023-08-01,5y,34.9066,11.5108
2023-09-01,5y,-5.9361,9.8275
2023-10-01,5y,-0.7741,4.0445
2023-11-01,5y,15.4067,2.7584
2023-12-01,5y,15.5084,11.5038
2024-01-01,5y,18.2088,15.5266
2024-02-01,5y,-5.5707,18.4085
2024-03-01,5y,12.559,23.5347
2024-04-01,5y,13.9213,26.2754
2024-05-01,5y,-3.9945,20.2336
2024-06-01,5y,-3.6391,26.0758
2024-07-01,5y,-11.2961,31.0422
2024-08-01,5y,11.3819,29.6148
2024-09-01,5y,2.0524,33.7405
2024-10-01,5y,11.2181,35.3395
2024-11-01,5y,-4.7829,35.0182
2024-12-01,5y,331.2805,41.4481
2025-01-01,5y,323.777,37.1847
2025-02-01,5y,416.998,39.9907
2025-03-01,5y,285.4337,37.3201
2025-04-01,5y,270.2643,29.314
2025-05-01,5y,277.0832,28.0629
2025-06-01,5y,265.3219,34.5179
2025-07-01,5y,258.6384,40.6512
2025-08-01,5y,382.2606,40.7254
2025-09-01,5y,340.8493,45.2046
2025-10-01,5y,364.6855,49.9689
2025-11-01,5y,289.0179,52.029
2025-12-01,5y,210.95,50.6793
2026-01-01,5y,183.9136,50.5483
2026-02-01,5y,137.7501,51.7958
2026-03-01,5y,104.5897,49.6597
2026-04-01,5y,97.2924,41.9924
2026-05-01,5y,99.3545,55.4027
2026-06-01,5y,86.5305,62.5725
2026-07-01,5y,51.1135,58.7716
2026-07-31,5y,51.1268,58.0804
2019-07-01,7y,0.0,0.0
2019-08-01,7y,-21.942,-0.3391
2019-09-01,7y,-27.773,-1.0265
2019-10-01,7y,-21.2281,0.0294
2019-11-01,7y,-1.4376,4.4077
2019-12-01,7y,-23.9014,6.2484
2020-01-01,7y,-31.5414,8.3167
2020-02-01,7y,-8.577,7.0741
2020-03-01,7y,-12.3469,-2.4227
2020-04-01,7y,-31.8049,-18.1544
2020-05-01,7y,-10.7546,-3.8951
2020-06-01,7y,-13.4888,4.3011
2020-07-01,7y,-26.2405,6.0921
2020-08-01,7y,23.9587,11.0669
2020-09-01,7y,24.8439,19.0584
2020-10-01,7y,-0.7503,13.0154
2020-11-01,7y,-0.0645,8.6511
2020-12-01,7y,155.4307,21.2936
2021-01-01,7y,-4.3945,23.2382
2021-02-01,7y,49.9397,22.7478
2021-03-01,7y,77.494,25.9489
2021-04-01,7y,125.113,29.5241
2021-05-01,7y,525.3674,33.5414
2021-06-01,7y,268.9522,32.8569
2021-07-01,7y,133.9579,35.3151
2021-08-01,7y,150.9794,36.4053
2021-09-01,7y,317.0642,39.1335
2021-10-01,7y,242.2118,32.6893
2021-11-01,7y,249.6317,39.4032
2021-12-01,7y,209.2116,35.1664
2022-01-01,7y,159.0898,41.7096
2022-02-01,7y,88.1129,33.8724
2022-03-01,7y,131.2006,26.0967
2022-04-01,7y,139.6352,32.388
2022-05-01,7y,72.9561,19.5554
2022-06-01,7y,11.9042,18.3025
2022-07-01,7y,-12.0862,10.0863
2022-08-01,7y,6.8878,18.3368
2022-09-01,7y,-6.4333,13.6762
2022-10-01,7y,33.6508,2.5898
2022-11-01,7y,29.8627,10.3979
2022-12-01,7y,10.2673,16.6908
2023-01-01,7y,-6.0496,9.6068
2023-02-01,7y,14.9552,17.5341
2023-03-01,7y,6.302,12.557
2023-04-01,7y,42.349,17.7694
2023-05-01,7y,27.7504,19.1649
2023-06-01,7y,38.7399,20.5529
2023-07-01,7y,28.7424,26.72
2023-08-01,7y,91.3993,29.9206
2023-09-01,7y,33.51,27.8802
2023-10-01,7y,39.8204,21.0321
2023-11-01,7y,61.6887,19.3044
2023-12-01,7y,61.4122,29.1846
2024-01-01,7y,64.7622,33.7473
2024-02-01,7y,31.3319,37.0509
2024-03-01,7y,55.5958,42.9907
2024-04-01,7y,57.0252,46.2381
2024-05-01,7y,31.9784,39.3363
2024-06-01,7y,31.7685,46.1119
2024-07-01,7y,20.6859,51.9433
2024-08-01,7y,50.5988,50.4104
2024-09-01,7y,37.6085,55.2944
2024-10-01,7y,49.3961,57.2817
2024-11-01,7y,27.5649,57.0418
2024-12-01,7y,475.1802,64.6441
2025-01-01,7y,468.4974,59.8481
2025-02-01,7y,597.4166,63.2363
2025-03-01,7y,422.9781,60.2517
2025-04-01,7y,404.8156,50.9993
2025-05-01,7y,416.4189,49.555
2025-06-01,7y,402.487,57.0937
2025-07-01,7y,395.3019,64.3067
2025-08-01,7y,568.5924,64.4832
2025-09-01,7y,513.8903,69.8033
2025-10-01,7y,549.7114,75.4856
2025-11-01,7y,446.1028,78.0311
2025-12-01,7y,338.0215,76.5873
2026-01-01,7y,301.0189,76.5533
2026-02-01,7y,236.589,78.1275
2026-03-01,7y,190.1007,75.7296
2026-04-01,7y,180.0026,66.8116
2026-05-01,7y,183.1195,82.6062
2026-06-01,7y,165.0832,91.1456
2026-07-01,7y,114.8208,86.8161
2026-07-31,7y,114.6803,86.1161
2017-11-09,max,0.0,0.0
2017-12-01,max,17.4518,2.3094
2018-01-01,max,916.224,2.5924
2018-02-01,max,186.1318,7.2667
2018-03-01,max,131.0657,0.2583
2018-04-01,max,7.0294,-0.9884
2018-05-01,max,83.5889,-0.2836
2018-06-01,max,27.1561,3.0081
2018-07-01,max,-8.412,2.3163
2018-08-01,max,-10.5977,5.5525
2018-09-01,max,-29.4562,8.502
2018-10-01,max,21.3737,8.7406
2018-11-01,max,-5.4626,1.2865
2018-12-01,max,-22.3048,2.0291
2019-01-01,max,-22.4483,-7.1182
2019-02-01,max,-33.148,0.8274
2019-03-01,max,-29.1178,4.6708
2019-04-01,max,-28.4552,6.8822
2019-05-01,max,-28.7622,8.7289
2019-06-01,max,2.8019,2.1369
2019-07-01,max,-2.9986,10.0766
2019-08-01,max,-24.099,9.3291
2019-09-01,max,-37.5034,8.0198
2019-10-01,max,-37.9865,8.4768
2019-11-01,max,-25.4314,12.8882
2019-12-01,max,-41.8023,15.3457
2020-01-01,max,-48.8677,18.1622
2020-02-01,max,-33.6561,17.4416
2020-03-01,max,-35.9848,7.3535
2020-04-01,max,-50.0088,-10.4069
2020-05-01,max,-35.4037,3.3262
2020-06-01,max,-36.963,11.6177
2020-07-01,max,-45.9693,13.5611
2020-08-01,max,-9.3329,18.9869
2020-09-01,max,-7.1243,27.8649
2020-10-01,max,-25.0062,21.9243
2020-11-01,max,-23.8226,17.4799
2020-12-01,max,96.3488,31.2411
2021-01-01,max,-24.9185,33.8185
2021-02-01,max,18.4695,33.7529
2021-03-01,max,42.0615,37.6536
2021-04-01,max,82.673,42.0128
2021-05-01,max,415.0148,46.9109
2021-06-01,max,209.4565,46.6768
2021-07-01,max,99.2654,49.8568
2021-08-01,max,116.3529,51.5314
2021-09-01,max,263.7382,55.0128
2021-10-01,max,202.3667,48.2633
2021-11-01,max,212.5161,56.0842
2021-12-01,max,179.4319,51.711
2022-01-01,max,136.4641,59.3547
2022-02-01,max,73.1736,50.8763
2022-03-01,max,114.2472,42.3182
2022-04-01,max,123.6765,49.5198
2022-05-01,max,62.5717,35.1724
2022-06-01,max,5.7241,33.7496
2022-07-01,max,-16.7751,24.4357
2022-08-01,max,1.1698,33.6331
2022-09-01,max,-11.3053,28.3376
2022-10-01,max,26.7429,15.746
2022-11-01,max,23.4956,24.3527
2022-12-01,max,5.1241,31.3219
2023-01-01,max,-10.3027,23.296
2023-02-01,max,9.7877,32.0873
2023-03-01,max,1.6833,26.4434
2023-04-01,max,36.3097,32.202
2023-05-01,max,22.6303,33.7143
2023-06-01,max,33.4298,35.2263
2023-07-01,max,24.0812,42.1052
2023-08-01,max,84.7934,45.6966
2023-09-01,max,29.2923,43.4273
2023-10-01,max,35.6392,35.7487
2023-11-01,max,57.1425,33.7694
2023-12-01,max,57.2246,44.7894
2024-01-01,max,60.8319,49.9045
2024-02-01,max,28.471,53.631
2024-03-01,max,52.4124,60.3277
