Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Expected_Return_Rank,Dynamic_Expected_Return_Rank,Penalty,Average_Rank
1,BTC-USD,Unknown,7889.1,87.4,1.2,0.8,5.0,15.3,35.5,90.6,182.6,218.5,608.7,7371.9,9031.1,-11.0,1.2,7776.2,1726.2,7971.7,1.0,1.0,4.0,12.0,0,6.0
2,TSLA,Consumer Cyclical,2449.7,85.7,4.1,6.1,-0.3,3.2,8.5,17.1,14.4,4.8,371.0,836.7,2869.1,-53.7,1.2,2005.6,427.2,2536.0,4.0,4.0,5.0,23.0,3,14.8
3,ETN,Industrials,129.1,81.0,-13.6,-4.3,0.8,7.3,4.2,5.9,25.7,58.9,104.6,154.5,164.8,-22.7,1.2,156.4,39.2,213.1,20.0,20.0,25.0,48.0,-5,27.2
4,COST,Consumer Defensive,228.0,87.0,2.7,-0.7,-8.3,-10.4,-6.3,4.9,15.3,38.9,72.4,157.5,263.2,-7.0,1.1,222.7,47.0,312.0,12.0,14.0,19.0,46.0,4,31.4
5,AMD,Technology,297.6,44.4,2.0,13.2,35.1,51.6,36.1,19.4,33.6,33.4,131.3,1395.0,694.9,-20.3,1.3,853.5,481.1,383.9,10.0,10.0,8.0,20.0,20,33.6
6,DOGE-USD,Unknown,6352.5,43.8,2.2,16.2,17.6,17.1,32.4,76.3,100.0,790.2,3170.8,3562.7,14539.2,-31.9,1.6,10065.4,3539.4,6420.9,2.0,2.0,2.0,7.0,30,34.0
7,NVDA,Technology,695.2,74.9,0.0,4.1,16.9,30.2,32.8,97.2,315.0,544.8,1342.4,5986.3,942.7,-42.5,1.2,805.8,166.9,781.4,6.0,6.0,9.0,31.0,20,36.6
8,MSFT,Technology,67.1,37.7,-0.6,0.5,6.6,11.6,10.8,7.3,16.1,25.4,67.7,238.6,196.5,-11.1,1.2,186.6,117.0,166.7,27.5,29.5,21.5,34.5,10,39.5
9,MSFT,Technology,67.1,37.7,-0.6,0.5,6.6,11.6,10.8,7.3,16.1,25.4,67.7,238.6,196.5,-11.1,1.2,186.6,117.0,166.7,27.5,29.5,21.5,34.5,10,39.5
10,LLY,Healthcare,107.8,37.7,-4.4,-18.7,-19.4,-27.2,-30.8,-31.8,-12.4,54.5,129.1,269.6,307.4,-12.8,1.2,564.3,261.6,194.1,23.0,25.0,10.0,25.0,20,41.6
11,SOL-USD,Unknown,2743.9,33.4,1.3,7.2,6.5,11.1,5.9,104.3,300.5,1052.2,0.0,0.0,8255.5,-24.9,1.2,9876.4,4872.6,2743.9,3.0,3.0,3.0,3.0,40,43.0
12,AVGO,Technology,122.7,95.4,2.4,6.1,13.5,31.4,48.7,98.5,186.0,307.2,480.2,839.2,130.2,-31.6,1.2,60.5,7.6,208.9,21.0,21.0,38.0,57.0,10,48.8
13,NFLX,Communication Services,192.3,77.5,-0.2,-2.7,-5.6,3.2,25.1,64.0,121.0,123.1,126.0,331.9,249.1,-3.6,1.5,168.9,35.3,276.3,15.0,16.0,23.0,50.0,18,48.8
14,XRP-USD,Unknown,563.5,61.4,1.4,9.0,26.7,30.7,161.5,292.7,390.1,426.9,566.6,546.9,954.0,-58.7,2.0,534.9,112.1,629.9,9.0,9.0,12.0,36.0,30,50.4
15,ETH-USD,Unknown,578.3,34.3,2.0,27.4,50.6,73.6,57.1,50.9,69.6,124.6,698.2,680.7,1813.8,-67.4,1.3,1261.1,790.1,644.7,8.0,8.0,7.0,18.0,40,51.8
16,MSTR,Technology,1423.6,64.8,0.1,-7.0,-4.7,8.1,47.2,269.2,629.4,773.1,1303.5,1567.8,2218.1,-41.5,1.4,1407.2,205.9,1509.8,5.0,5.0,6.0,27.0,38,52.0
17,ENPH,Technology,613.7,8.0,0.0,-12.1,-24.6,-36.5,-54.9,-78.2,-99.3,-113.5,-63.4,387.8,8475.5,-72.8,1.4,29265.3,47215.0,697.8,7.0,7.0,1.0,1.0,50,53.4
18,WM,Industrials,47.2,50.2,1.4,1.1,-5.6,-6.7,-3.8,-3.6,-6.8,1.8,3.5,30.7,104.8,-10.9,1.2,152.2,73.2,131.2,32.0,33.0,26.0,41.0,25,59.6
19,QQQ,Unknown,32.7,46.5,-2.1,1.2,2.6,4.0,5.3,6.5,14.3,15.2,33.7,83.4,85.8,-13.5,1.1,76.5,39.5,116.8,36.0,36.0,34.0,47.0,20,60.0
20,CAT,Industrials,89.3,71.3,-5.2,-2.1,6.7,9.7,5.8,6.5,15.5,32.2,51.1,89.8,134.6,-23.0,1.2,125.9,38.5,173.3,26.0,28.0,29.0,49.0,25,61.2
21,MELI,Consumer Cyclical,118.5,23.7,-1.6,-5.7,-11.0,-2.4,3.3,14.2,31.6,31.1,97.4,446.1,603.7,-32.5,1.2,537.1,352.3,202.5,22.0,22.0,11.0,24.0,41,61.6
22,NTRA,Healthcare,51.5,11.6,2.4,0.5,-7.6,-7.2,-2.1,45.8,84.7,72.0,160.0,464.9,648.5,-26.9,1.6,406.0,230.4,135.5,31.0,32.0,13.0,26.0,39,64.6
23,WMT,Consumer Defensive,91.2,79.1,6.4,3.7,-1.1,-1.4,6.7,26.9,37.4,47.4,54.1,80.0,121.9,-24.9,1.3,70.7,13.0,175.2,25.0,27.0,35.0,56.0,26,65.8
24,PANW,Technology,29.5,29.9,-1.0,-5.9,-13.0,-14.1,-13.2,-9.8,4.6,48.8,113.0,219.1,155.4,-24.3,1.4,297.8,173.7,115.7,40.0,38.0,15.0,28.0,37,66.8
25,AVAV,Industrials,129.7,56.9,-3.0,-2.1,12.8,35.1,27.6,42.4,65.8,90.3,107.8,246.2,263.0,-46.4,1.4,138.1,33.8,213.7,19.0,19.0,28.0,52.0,35,69.0
26,LIN,Basic Materials,17.7,35.6,1.1,-0.7,-4.5,-5.7,-6.8,-12.4,-12.7,-4.3,8.2,37.9,80.0,-16.8,1.3,148.7,99.2,101.7,42.0,40.0,27.0,37.0,35,71.6
27,PLD,Real Estate,9.9,14.8,-2.5,-2.1,-7.1,-12.3,-16.9,-29.6,-42.5,-53.5,-61.8,-64.8,143.5,-13.3,1.4,394.1,466.3,93.9,44.0,44.0,14.0,21.0,45,73.8
28,GS,Financial Services,58.8,91.0,-1.4,1.2,7.8,11.3,19.4,40.9,46.7,62.6,85.6,84.9,68.6,-40.0,1.1,33.4,3.9,145.1,30.0,31.0,42.0,60.0,30,74.6
29,TMDX,Healthcare,144.6,58.6,-5.9,-9.4,-6.9,20.3,10.6,15.5,19.3,152.3,201.3,201.3,293.6,-66.0,1.4,227.4,65.9,217.5,17.0,18.0,17.0,42.0,48,75.2
30,VST,Utilities,261.9,76.8,-4.1,-2.6,11.1,23.8,47.1,179.2,347.7,551.7,582.0,644.9,360.2,-63.0,1.3,197.3,15.4,345.9,11.0,11.0,20.0,55.0,45,75.4
31,ISRG,Healthcare,27.5,23.8,-4.0,-9.1,-17.1,-19.6,-18.8,-7.9,3.5,8.2,18.3,121.5,144.2,-8.9,1.2,278.2,173.1,111.5,41.0,39.0,16.0,29.0,47,77.8
32,FSLR,Technology,-26.6,8.5,-1.5,3.6,12.2,18.6,-1.5,-13.9,-23.2,10.4,48.6,67.2,215.8,-49.1,1.6,0.0,942.6,57.5,57.0,60.0,74.0,15.0,39,83.2
33,IONQ,Technology,229.5,63.0,-6.0,-0.8,2.4,23.0,125.4,184.8,307.3,291.4,291.4,291.4,389.3,-42.1,1.6,166.4,33.3,282.8,14.0,13.0,24.0,53.0,55,86.4
