Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,High_52W,Pct_From_52W_High,At_52W_High
1,AMD,Semiconductors,2241.6,100.0,0.0,85.0,107.1,110.7,181.0,216.4,224.3,284.0,439.4,2241.6,2241.5,-27.9,1.5,731.7,133.0,2392.3,4.0,4.0,4.0,4.0,15.89,15.89,37.84,37.84,16,132.92776182934102,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,4.0,4.0,4.0,4.0,15.89,15.89,1.0,0.0,0.0,-6.0,0.0,37.84,37.84,,,,,,,527.1999,-1.73,False
2,QUBT,Quantum Computing,1152.3,13.9,-0.1,48.6,38.9,18.2,-3.2,481.4,662.0,502.2,381.7,1152.3,9187.6,-139.9,1.6,8808.3,4610.118517278075,1303.0,17.0,17.0,17.0,17.0,20.53,20.53,40.68,40.68,14,3911.660151480214,STRONG_UP,LOWER,MOMENTUM_UP,S0_NEUTRAL,,,,,17.0,17.0,17.0,17.0,20.53,20.53,62.0,0.0,0.0,0.0,0.0,40.68,40.68,,,,,,,25.84,-52.63,False
3,TRX-USD,Cryptocurrency,913.3,13.9,0.2,4.4,12.3,14.5,8.3,45.9,104.5,190.1,552.2,913.3,6637.4,-26.9,1.2,5469.1,1402.732408128831,1029.0,26.0,26.0,26.0,26.0,8.21,8.21,43.51,43.51,-1,-48.33960586249668,STRONG_UP,LOWER,NEUTRAL,S0_NEUTRAL,,,,,26.0,26.0,26.0,26.0,8.21,8.21,98.0,0.0,0.0,0.0,0.0,43.51,43.51,,,,,,,0.3763,-2.29,False
4,SMCI,Computer Hardware,877.0,24.3,3.9,57.9,41.5,25.4,0.3,-17.6,-20.4,250.1,585.1,877.0,3831.2,-73.1,1.4,3675.2,3618.8938938709475,1027.7,27.0,27.0,28.0,28.0,26.33,26.33,46.33,46.33,27,1106.3123650538746,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER,,,,,27.0,27.0,28.0,28.0,26.33,26.33,55.0,0.0,0.0,-6.0,0.0,46.33,46.33,,,,,,,58.78,-29.74,False
5,TSLA,Automobile Manufacturers,874.8,58.4,2.4,4.6,0.7,-4.6,2.6,20.6,24.0,9.1,301.2,874.8,1535.1,-50.2,1.2,1318.2,482.3428638512511,1025.5,28.0,28.0,29.0,29.0,23.7,23.7,48.15,48.15,17,406.2361511902888,STRONG_UP,UPPER_RANGE,MOMENTUM_UP,S1_LEADER,,,,,28.0,28.0,29.0,29.0,23.7,23.7,165.0,0.0,0.0,-6.0,-22.0,48.15,48.15,,,,,,,498.83,-11.37,False
6,NVDA,Semiconductors,3687.3,90.3,-0.6,5.0,6.0,4.4,10.8,27.9,108.8,432.1,1133.5,3687.3,4013.4,-12.1,1.1,3278.4,722.4499729784835,3838.0,1.0,1.0,1.0,1.0,4.44,4.44,48.89,48.89,-5,651.8534407841515,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,1.0,1.0,1.0,1.0,4.44,4.44,126.0,0.0,0.0,25.0,-12.0,48.89,48.89,,,,,,,236.54,-9.42,False
7,KLAC,Semiconductor Equipment,1045.3,94.8,-0.6,9.3,15.2,30.4,64.6,98.3,132.6,232.8,452.3,1045.3,1100.6,-14.1,1.2,595.7,101.36138643624449,1196.0,20.0,20.0,22.0,22.0,4.44,4.44,51.04,51.04,7,99.99688618349684,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,20.0,20.0,22.0,22.0,4.44,4.44,54.0,0.0,0.0,0.0,0.0,51.04,51.04,,,,,,,2060.0801,-6.43,False
8,MPWR,Semiconductors,668.1,97.0,3.1,14.5,24.5,40.7,66.8,83.3,98.8,139.9,269.3,668.1,687.5,-5.3,1.4,326.8,62.41769284697626,818.8,33.0,33.0,33.0,33.0,0.0,0.0,52.0,52.0,20,62.19245489104904,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,33.0,33.0,33.0,33.0,0.0,0.0,41.0,0.0,0.0,-6.0,0.0,52.0,52.0,,,,,,,1714.0898,-4.72,False
9,RGTI,Quantum Computing,1092.6,40.9,0.9,67.3,54.9,26.4,49.9,794.1,1258.4,1109.3,,1092.6,2754.1,-93.0,1.5,1958.3,541.0019138017163,1156.2,22.0,22.0,19.0,19.0,12.5,12.5,52.1,52.1,59,489.6827328620779,STRONG_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,22.0,22.0,19.0,19.0,12.5,12.5,32.0,0.0,11.0,0.0,0.0,52.1,52.1,,,,,,,58.15,-53.52,False
10,APP,Software,1090.2,70.5,15.3,32.5,27.7,8.2,17.7,163.1,623.7,1096.2,,1090.2,1542.2,-55.4,1.4,1301.2,318.6240747440652,1153.7,23.0,23.0,20.0,20.0,12.5,12.5,54.25,54.25,1,-1052.7816345776532,STRONG_UP,UPPER_RANGE,MOMENTUM_UP,S1_LEADER,,,,,23.0,23.0,20.0,20.0,12.5,12.5,68.0,0.0,11.0,-6.0,0.0,54.25,54.25,,,,,,,745.61,-19.54,False
