Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,5d,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,Interval_Dice,Alpha_Dice,Grid_Score,Max_Divergence_Score,Y3_Beat_VOO_Score,Y3_Premium_Score,Y3_Premium_50p_Score,Y3_Premium_100p_Score,Y3_Premium_Wins,Y3_Premium_Total,Y3_Confidence,Beat_Score,Beat_Score_50p,Beat_Score_100p
1,NVDA,Semiconductors,3569.7,87.4,7.0,7.0,0.0,1.6,2.8,2.7,81.2,385.1,991.2,3569.7,4013.4,-12.1,1.1,3496.5,807.7,3718.1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,-161.5999999999999,EARLY_UP,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,101111111,101111111,195.8,218.0,177.8,155.6,155.6,133.3,7.0,9.0,1.0,569.4,569.4,547.1
2,AMD,Semiconductors,2394.9,94.9,7.4,6.4,5.9,52.9,93.8,142.1,233.7,302.6,446.9,2394.9,2526.1,-27.9,1.4,947.1,154.8,2543.2,5.0,5.0,5.0,5.0,0.0,0.0,2.0,2.0,0,-31.599999999999994,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,5.0,5.0,5.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,,,,,,,111111111,111101011,195.8,190.0,155.6,155.6,155.6,155.6,7.0,9.0,1.0,541.4,541.4,541.4
3,ANET,Networking Equipment,926.3,100.0,15.6,15.5,10.5,14.8,20.6,24.6,84.2,224.3,444.2,926.3,926.6,-19.6,1.2,625.1,117.5,1074.6,17.0,17.0,17.0,17.0,0.0,0.0,3.0,3.0,8,-57.400000000000006,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,17.0,17.0,17.0,17.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,3.0,,,,,,,111111111,100111111,195.8,150.0,155.6,155.6,155.6,111.1,7.0,9.0,1.0,501.4,501.4,456.9
4,AVGO,Semiconductors,1175.3,79.9,9.2,9.6,-2.7,-0.7,4.1,6.8,106.1,295.2,554.7,1175.3,1473.1,-16.4,1.2,1216.3,265.9,1323.6,13.0,13.0,13.0,13.0,0.0,0.0,4.0,4.0,9,-75.0,EARLY_UP,UPPER_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,13.0,13.0,13.0,13.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,4.0,,,,,,,100111111,111111111,195.8,150.0,200.0,155.6,155.6,111.1,7.0,9.0,1.0,501.4,501.4,456.9
5,BTC-USD,Cryptocurrency,1555.6,44.2,-0.1,-0.6,-1.8,-11.9,-18.0,-35.5,-31.0,-7.6,73.7,1555.6,3326.6,-9.6,1.3,5368.8,2848.4,1703.9,10.0,10.0,10.0,10.0,0.0,0.0,5.0,5.0,-2,-104.5,EARLY_UP,MID_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,10.0,10.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,5.0,,,,,,,000000011,111110111,129.1,190.0,177.8,177.8,177.8,155.6,8.0,9.0,1.0,496.9,496.9,474.7
6,BNB-USD,Cryptocurrency,1876.8,33.5,-0.8,-2.6,-6.6,-11.5,-20.2,-32.9,-15.8,-19.3,570.3,1876.8,5605.5,-25.2,1.3,8205.1,4862.0,1990.3,8.0,8.0,8.0,8.0,0.0,0.0,6.0,6.0,-2,10.199999999999818,EARLY_UP,MID_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,8.0,8.0,8.0,8.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,6.0,,,,,,,000000011,--0111111,123.9,190.0,171.4,171.4,171.4,171.4,6.0,7.0,1.0,485.3,485.3,485.3
7,AXON,Public Safety Technology,629.9,51.5,-4.1,-6.5,6.6,16.9,8.4,-11.6,14.7,79.9,171.0,629.9,1246.3,-25.7,1.5,1490.3,685.0,778.2,30.0,30.0,32.0,32.0,0.0,0.0,7.0,7.0,-2,91.39999999999998,STRONG_UP,UPPER_RANGE,NEUTRAL,S0_NEUTRAL,,,,,30.0,30.0,32.0,32.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,7.0,,,,,,,011101111,111111111,195.8,110.0,200.0,177.8,177.8,133.3,8.0,9.0,1.0,483.6,483.6,439.1
8,FTNT,Cybersecurity Software,592.2,94.7,-3.0,-0.5,2.7,40.5,60.5,61.6,65.5,69.0,168.5,592.2,626.8,-20.2,1.4,330.3,79.8,740.5,33.0,33.0,35.0,35.0,0.0,0.0,8.0,8.0,-2,6.0,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,33.0,33.0,35.0,35.0,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,8.0,,,,,,,011111111,111111101,195.8,110.0,177.8,177.8,177.8,111.1,8.0,9.0,1.0,483.6,483.6,416.9
9,VRT,Electrical Equipment & Parts,1439.6,81.6,5.1,4.8,0.1,0.1,23.4,57.1,257.9,901.9,1247.5,1439.6,1741.3,-60.9,1.2,1008.1,194.8,1542.0,11.0,11.0,11.0,11.0,0.0,0.0,9.0,9.0,7,-26.69999999999999,EARLY_UP,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,11.0,11.0,11.0,11.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.0,9.0,,,,,,,111111111,---101111,198.3,150.0,166.7,133.3,133.3,133.3,4.0,6.0,1.0,481.6,481.6,481.6
10,TRX-USD,Cryptocurrency,783.0,11.9,0.0,-0.1,-0.2,-3.7,0.6,-3.8,64.8,149.4,456.7,783.0,6637.4,-26.9,1.2,6486.9,4450.2,896.5,26.0,26.0,24.0,24.0,0.0,0.0,10.0,10.0,-3,-57.900000000000546,EARLY_UP,LOWER,NEUTRAL,S0_NEUTRAL,,,,,26.0,26.0,24.0,24.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,10.0,,,,,,,000101111,--0111111,157.3,150.0,171.4,171.4,171.4,171.4,6.0,7.0,1.0,478.7,478.7,478.7
